cohort,outcome,comparison,delta_spearman,spearman_2_5,spearman_97_5,P_delta_spearman_gt0,delta_pearson,pearson_2_5,pearson_97_5,P_delta_pearson_gt0,classification
PL1516,YCYCLE_NET_XG,B6_vs_B1,-0.8662035180944926,-1.276827849392436,-0.42240752695079464,0.0,-0.8912483683438688,-1.2550983124291302,-0.48431629894686684,0.0001,BASELINE_CLEARLY_BETTER
PL1516,YNEXTSHOT,B6_vs_B2_XR,-0.29930997883826477,-0.6168396954217665,-0.04872570007217368,0.0055,-0.3294401779382463,-0.5740371545619714,-0.12943545307476206,0.0003,BASELINE_CLEARLY_BETTER
PL1516,YNEXTSHOT,B6_vs_B3_SUCCESS_ONLY,0.29688232713882917,0.0736376208370715,0.5568511109520612,0.996,0.30001170995697857,0.11041974833599233,0.4990875797128078,0.9982,FULL_CLEARLY_BETTER
PL1516,YNEXTSHOT,B6_vs_B4_FIXED_FAILURE,-0.015051416710695048,-0.061174710806153,0.007602989847372331,0.1436,-0.027571251301266614,-0.056711560136979186,-0.004333378845260473,0.0076,NO_CLEAR_DIFFERENCE
PL1516,YNEXTSHOT,B6_vs_B5_COARSE_ORIGIN_FAILURE,-0.01265457509470441,-0.0571556150926546,0.0,0.0,-0.020623053299119523,-0.038936620531127696,-0.005999836382923254,0.0014,NO_CLEAR_DIFFERENCE
PL1516,YNEXTSHOT,B6_vs_B0,-0.7975411374665788,-1.2103549082771923,-0.34510465726578965,0.0001,-0.8153175912858344,-1.190969795840968,-0.4271136157130929,0.0,BASELINE_CLEARLY_BETTER
PL1516,YNEXTSHOT,B6_vs_B1,-0.8466406744250718,-1.2544197593884008,-0.4006051648689777,0.0001,-0.8820230621616288,-1.245994323095928,-0.49529751673862366,0.0,BASELINE_CLEARLY_BETTER
T2024,Y10_NET_XG,B6_vs_B2_XR,-0.40904850487311767,-0.7035368878331789,-0.13331546257124374,0.0024,-0.43658196084459266,-0.6767990909005198,-0.21709047978298848,0.0,BASELINE_CLEARLY_BETTER
T2024,Y10_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.1807337084586699,0.03725218207796064,0.3251549768683515,0.9934,0.22674716593310973,0.08978153945874913,0.3755210487980661,0.9996,FULL_CLEARLY_BETTER
T2024,Y10_NET_XG,B6_vs_B4_FIXED_FAILURE,0.0026529324576735815,-0.012026740716643074,0.019939851254890877,0.5864,-0.007628445392577503,-0.014614012467262464,-0.0014167321900091022,0.0042,NO_CLEAR_DIFFERENCE
T2024,Y10_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,0.011809737155490635,-0.0005642279480910228,0.03742712055670491,0.9092,-0.013181583534618044,-0.023641508879015217,-0.0033485958187849667,0.0035,NO_CLEAR_DIFFERENCE
T2024,Y10_NET_XG,B6_vs_B0,-0.7697012979276339,-1.130108409103707,-0.36779192664319427,0.0002,-0.8093685881641173,-1.13440192763856,-0.4286394032115716,0.0001,BASELINE_CLEARLY_BETTER
T2024,Y10_NET_XG,B6_vs_B1,-0.767110025531121,-1.126518700274098,-0.3719523509142399,0.0002,-0.8267190960984903,-1.149437008526443,-0.44586209999409027,0.0001,BASELINE_CLEARLY_BETTER
